"year","round","date","time","region","venue","hteam","ateam","hscore","ascore"
2021,20,2021-07-31,"16:15:00","VIC","M.C.G.","Collingwood","West Coast",90,45
2021,20,2021-08-01,"15:10:00","VIC","M.C.G.","Essendon","Sydney",102,109
2021,20,2021-08-01,"15:10:00","WA","Perth Stadium","Fremantle","Richmond",55,51
2021,20,2021-08-01,"12:10:00","VIC","Docklands","Gold Coast","Melbourne",30,128
2021,20,2021-08-01,"18:10:00","VIC","Docklands","Greater Western Sydney","Port Adelaide",73,100
2021,20,2021-08-01,"14:10:00","TAS","York Park","Hawthorn","Brisbane Lions",92,80
2021,20,2021-07-31,"13:15:00","TAS","Bellerive Oval","North Melbourne","Geelong",42,62
2021,20,2021-07-30,"19:50:00","VIC","Docklands","St Kilda","Carlton",81,112
2021,20,2021-07-31,"12:20:00","VIC","Eureka Stadium","Western Bulldogs","Adelaide",105,56
2021,21,2021-08-07,"19:10:00","SA","Adelaide Oval","Adelaide","Port Adelaide",51,55
2021,21,2021-08-07,"13:45:00","VIC","Docklands","Carlton","Gold Coast",57,76
2021,21,2021-08-08,"15:10:00","WA","Perth Stadium","Fremantle","Brisbane Lions",54,118
2021,21,2021-08-06,"19:50:00","VIC","Kardinia Park","Geelong","Greater Western Sydney",65,84
2021,21,2021-08-08,"14:10:00","VIC","M.C.G.","Hawthorn","Collingwood",97,78
2021,21,2021-08-07,"16:35:00","VIC","M.C.G.","Richmond","North Melbourne",89,56
2021,21,2021-08-07,"19:40:00","VIC","Docklands","St Kilda","Sydney",93,64
2021,21,2021-08-09,"18:10:00","WA","Perth Stadium","West Coast","Melbourne",63,72
2021,21,2021-08-08,"15:20:00","VIC","Docklands","Western Bulldogs","Essendon",84,97
2021,22,2021-08-14,"19:25:00","QLD","Gabba","Brisbane Lions","Collingwood",142,57
2021,22,2021-08-15,"15:10:00","WA","Perth Stadium","Fremantle","West Coast",79,64
2021,22,2021-08-14,"16:35:00","VIC","Kardinia Park","Geelong","St Kilda",85,71
2021,22,2021-08-15,"15:20:00","VIC","Kardinia Park","Gold Coast","Essendon",30,98
2021,22,2021-08-13,"19:50:00","VIC","Docklands","Greater Western Sydney","Richmond",106,67
2021,22,2021-08-14,"13:45:00","TAS","York Park","Hawthorn","Western Bulldogs",64,37
2021,22,2021-08-15,"14:10:00","VIC","M.C.G.","Melbourne","Adelaide",104,63
2021,22,2021-08-14,"19:40:00","VIC","Docklands","North Melbourne","Sydney",77,91
2021,22,2021-08-14,"16:05:00","SA","Adelaide Oval","Port Adelaide","Carlton",140,45
2021,23,2021-08-22,"16:10:00","SA","Adelaide Oval","Adelaide","North Melbourne",98,54
2021,23,2021-08-21,"16:35:00","QLD","Gabba","Brisbane Lions","West Coast",125,87
2021,23,2021-08-21,"19:40:00","VIC","Docklands","Carlton","Greater Western Sydney",75,89
2021,23,2021-08-22,"15:20:00","VIC","M.C.G.","Essendon","Collingwood",102,64
2021,23,2021-08-21,"19:25:00","VIC","Kardinia Park","Geelong","Melbourne",77,81
2021,23,2021-08-21,"13:35:00","VIC","M.C.G.","Richmond","Hawthorn",83,83
2021,23,2021-08-22,"12:15:00","TAS","Bellerive Oval","St Kilda","Fremantle",107,49
2021,23,2021-08-21,"13:45:00","VIC","Docklands","Sydney","Gold Coast",136,49
2021,23,2021-08-20,"19:50:00","VIC","Docklands","Western Bulldogs","Port Adelaide",64,66
2021,24,2021-08-28,"19:00:00","SA","Adelaide Oval","Melbourne","Brisbane Lions",93,60
2021,24,2021-08-27,"19:20:00","SA","Adelaide Oval","Port Adelaide","Geelong",86,43
2021,24,2021-08-28,"15:20:00","TAS","York Park","Sydney","Greater Western Sydney",73,74
2021,24,2021-08-29,"15:20:00","TAS","York Park","Western Bulldogs","Essendon",85,36
2021,25,2021-09-04,"19:20:00","QLD","Gabba","Brisbane Lions","Western Bulldogs",78,79
2021,25,2021-09-03,"17:50:00","WA","Perth Stadium","Geelong","Greater Western Sydney",103,68
2021,26,2021-09-10,"17:50:00","WA","Perth Stadium","Melbourne","Geelong",125,42
2021,26,2021-09-11,"19:10:00","SA","Adelaide Oval","Port Adelaide","Western Bulldogs",45,116
2021,27,2021-09-25,"17:15:00","WA","Perth Stadium","Melbourne","Western Bulldogs",140,66
2022,1,2022-03-20,"15:40:00","SA","Adelaide Oval","Adelaide","Fremantle",82,83
2022,1,2022-03-19,"19:10:00","QLD","Gabba","Brisbane Lions","Port Adelaide",80,69
2022,1,2022-03-17,"19:25:00","VIC","M.C.G.","Carlton","Richmond",101,76
2022,1,2022-03-19,"14:10:00","VIC","M.C.G.","Geelong","Essendon",138,72
2022,1,2022-03-19,"17:10:00","NSW","Stadium Australia","Greater Western Sydney","Sydney",92,112
2022,1,2022-03-20,"13:10:00","VIC","M.C.G.","Hawthorn","North Melbourne",78,58
2022,1,2022-03-16,"19:10:00","VIC","M.C.G.","Melbourne","Western Bulldogs",97,71
2022,1,2022-03-18,"19:50:00","VIC","Docklands","St Kilda","Collingwood",85,102
2022,1,2022-03-20,"16:40:00","WA","Perth Stadium","West Coast","Gold Coast",80,107
2022,2,2022-03-26,"13:45:00","VIC","M.C.G.","Collingwood","Adelaide",100,58
2022,2,2022-03-26,"16:35:00","VIC","Docklands","Essendon","Brisbane Lions",75,97
2022,2,2022-03-27,"15:20:00","WA","Perth Stadium","Fremantle","St Kilda",55,65
2022,2,2022-03-26,"19:00:00","QLD","Carrara","Gold Coast","Melbourne",69,82
2022,2,2022-03-27,"13:10:00","VIC","Docklands","North Melbourne","West Coast",74,59
2022,2,2022-03-26,"19:10:00","SA","Adelaide Oval","Port Adelaide","Hawthorn",56,120
2022,2,2022-03-27,"15:20:00","VIC","M.C.G.","Richmond","Greater Western Sydney",109,73
