"year","round","date","time","region","venue","hteam","ateam","hscore","ascore","is_grand_final","is_final","home_win","hdiff"
2012,21,2012-08-18,"19:40:00","VIC","Docklands","Collingwood","North Melbourne",61,91,0,0,0,-30
2012,21,2012-08-18,"13:45:00","VIC","M.C.G.","Essendon","Carlton",60,156,0,0,0,-96
2012,21,2012-08-18,"14:40:00","WA","Subiaco","Fremantle","Richmond",94,72,0,0,1,22
2012,21,2012-08-17,"19:50:00","VIC","Docklands","Geelong","St Kilda",123,81,0,0,1,42
2012,21,2012-08-18,"14:10:00","ACT","UNSW Canberra Oval","Greater Western Sydney","Melbourne",59,84,0,0,0,-25
2012,21,2012-08-19,"16:40:00","VIC","M.C.G.","Hawthorn","Gold Coast",129,65,0,0,1,64
2012,21,2012-08-19,"12:40:00","SA","Football Park","Port Adelaide","West Coast",50,98,0,0,0,-48
2012,21,2012-08-19,"15:15:00","VIC","Docklands","Western Bulldogs","Sydney",85,167,0,0,0,-82
2012,22,2012-08-26,"13:10:00","VIC","GMHBA Stadium","Geelong","Western Bulldogs",107,73,0,0,1,34
2012,22,2012-08-25,"19:40:00","QLD","Carrara","Gold Coast","Carlton",98,86,0,0,1,12
2012,22,2012-08-26,"16:40:00","VIC","M.C.G.","Melbourne","Adelaide",81,150,0,0,0,-69
2012,22,2012-08-26,"15:15:00","VIC","Docklands","North Melbourne","Fremantle",79,132,0,0,0,-53
2012,22,2012-08-25,"13:40:00","SA","Football Park","Port Adelaide","Brisbane Lions",93,104,0,0,0,-11
2012,22,2012-08-24,"19:50:00","VIC","M.C.G.","Richmond","Essendon",102,57,0,0,1,45
2012,22,2012-08-25,"13:45:00","VIC","Docklands","St Kilda","Greater Western Sydney",163,35,0,0,1,128
2012,22,2012-08-25,"16:40:00","NSW","S.C.G.","Sydney","Hawthorn",95,102,0,0,0,-7
2012,22,2012-08-25,"17:40:00","WA","Subiaco","West Coast","Collingwood",107,58,0,0,1,49
2012,23,2012-09-01,"13:40:00","SA","Football Park","Adelaide","Gold Coast",153,62,0,0,1,91
2012,23,2012-09-02,"16:40:00","QLD","Gabba","Brisbane Lions","Western Bulldogs",128,61,0,0,1,67
2012,23,2012-09-02,"13:10:00","VIC","Docklands","Carlton","St Kilda",91,106,0,0,0,-15
2012,23,2012-09-01,"19:40:00","VIC","M.C.G.","Essendon","Collingwood",72,104,0,0,0,-32
2012,23,2012-09-01,"17:40:00","WA","Subiaco","Fremantle","Melbourne",101,40,0,0,1,61
2012,23,2012-09-01,"13:45:00","VIC","GMHBA Stadium","Geelong","Sydney",112,78,0,0,1,34
2012,23,2012-09-01,"16:40:00","NSW","Sydney Showground","Greater Western Sydney","North Melbourne",77,105,0,0,0,-28
2012,23,2012-08-31,"19:50:00","VIC","M.C.G.","Hawthorn","West Coast",95,70,0,0,1,25
2012,23,2012-09-02,"15:15:00","VIC","M.C.G.","Richmond","Port Adelaide",106,106,0,0,0,0
2012,24,2012-09-08,"14:45:00","SA","Football Park","Adelaide","Sydney",42,71,0,3,0,-29
2012,24,2012-09-08,"19:45:00","VIC","M.C.G.","Geelong","Fremantle",80,96,0,2,0,-16
2012,24,2012-09-07,"19:50:00","VIC","M.C.G.","Hawthorn","Collingwood",135,97,0,3,1,38
2012,24,2012-09-09,"13:15:00","WA","Subiaco","West Coast","North Melbourne",162,66,0,2,1,96
2012,25,2012-09-14,"20:10:00","SA","Football Park","Adelaide","Fremantle",81,71,0,4,1,10
